Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-07-03,121.66,128.28,121.36,128.28,215748955,122.67,123.41,121.03,218373969.0,124.556,125.07300000000001,2.1704446549035508,257419378.2,372517422.0,43052762.2912015,122.98799999999999,125.24300000000001,1.5181468967128773,126.13,128.112,2.0161721156686023,121.378,122.06700000000001,1.6487783356161532,3.500943775599879,-42531262.77569151,2.9756939686509156,3.4084042640532743,3.143846586565104,61.584020138061625,42.41423629690569,53.78955463552378,59.21477284263058,59.13874041903916
2024-07-05,127.38,128.85,125.68,125.83,214176689,128.28,128.28,121.36,215748955.0,124.924,124.578,2.206179956395071,249740377.4,342158248.4,47343838.60289611,123.644,124.001,2.50601875491761,126.61800000000001,126.92099999999998,2.3658550251440995,121.92999999999999,121.68299999999999,2.523875987444141,3.3052434728056426,-47781314.72426307,3.025768954795737,3.302794538580258,3.2262455548807623,57.958274798507524,42.35541727362614,60.01488220713213,59.82733435962134,64.58229911719067
2024-07-08,127.49,130.77,127.04,128.2,237677322,125.83,128.85,125.68,214176689.0,125.856,124.74099999999999,2.4465547204179345,234172493.8,300377514.2,29887073.47838421,124.226,124.03799999999998,3.0554263204991043,127.22999999999999,126.93499999999999,3.0233673279969784,122.78800000000001,121.95700000000002,3.4365200421352218,3.2981436814523732,-49521277.859452724,3.0388873033822534,3.331337869685342,3.359419097891589,60.38781741933944,43.614096094391044,60.126128598706266,61.90296374441989,66.11284258376365
2024-07-09,130.35,133.82,128.65,131.38,287020820,128.2,130.77,127.04,237677322.0,127.272,126.06800000000001,3.2407823129607425,234599551.0,281473509.6,30794357.80692536,125.602,124.749,4.02515465541368,129.026,127.87100000000001,3.8128375260427134,124.752,123.018,3.415021229801784,3.5022092741128716,-46478932.38674736,3.2368607173974766,3.552824247439972,3.5505085433667745,63.440669097671325,46.26706433036594,63.007904377729254,64.9968847739271,67.88230496997069
2024-07-10,134.03,135.1,132.42,134.91,248978569,131.38,133.82,128.65,287020820.0,129.71999999999997,126.95,3.5074135769822066,240720471.0,263792620.9,29788119.402445413,128.182,126.032,4.543068346392989,131.364,128.731,3.0072296220939725,127.03000000000002,124.328,4.051172669733623,3.8970694283854215,-46529398.41046494,3.6416750546037946,3.7853980165375134,3.9533578978007284,66.52479702608105,44.52761457130095,66.37531778319811,66.2361503063458,71.61935452488368
2024-07-11,135.75,136.15,127.05,127.4,374782738,134.91,135.1,132.42,248978569.0,129.544,127.05,3.6180699274612005,272527227.6,264973302.9,62928718.05646487,131.0,126.994,3.7944169512584462,132.938,129.53400000000002,3.048814523712371,128.168,124.773,2.5992441208929487,3.575455807777047,-36215420.08630955,4.051355406800923,4.006231603413568,3.804425420926762,55.74958196771859,51.07787767386487,67.84849108961897,67.26014617026135,60.772378842461
2024-07-12,128.26,131.92,127.22,129.24,252680535,127.4,136.15,127.05,374782738.0,130.22599999999997,127.575,3.0139143982533945,280227996.8,264984187.1,55974750.6600312,131.176,127.41000000000001,3.5999555552808475,133.552,130.08499999999998,2.2147618382118455,128.476,125.203,2.305348129891999,3.4265642366824096,-37271041.95781249,3.7402288547502422,3.802627457411802,3.6575778534961216,57.563205537974866,45.46630360111593,56.28416144107492,59.439254605788825,60.97388523496415
2024-07-15,130.56,131.39,127.18,128.44,208326164,129.24,131.92,127.22,252680535.0,130.274,128.065,2.9752445277655943,274357765.2,254265129.5,62689126.61835037,131.79000000000002,128.00799999999998,3.0309486963651033,133.676,130.453,2.029687168013717,128.504,125.646,2.2843007682869896,3.2081326604358367,-41145281.48097026,3.633907126725518,3.5581884114609323,3.4976231209129764,56.47933591984812,43.5927598890661,58.6167352507965,58.521066646455566,60.894619344284656
2024-07-16,128.44,129.04,124.58,126.36,214769515,128.44,131.39,127.18,208326164.0,129.27,128.271,3.334081582684963,259907504.2,247253527.6,67205027.2949793,131.408,128.505,3.3602782622868284,132.71999999999997,130.873,2.8887973276087657,127.69000000000001,126.221,2.869477304318085,2.8372722738923386,-43204370.384185135,3.342855973030183,3.14178411152092,3.1284795847142135,53.65077356135256,43.9540685089341,55.66826065718619,54.500952602745535,55.815540447548365
2024-07-17,121.35,121.85,116.72,117.99,390086189,126.36,129.04,124.58,214769515.0,125.88600000000001,127.803,4.545215066418637,288129028.2,264424749.6,87907393.09369083,128.872,128.527,5.179234499421497,130.07,130.71699999999998,5.262143099536496,124.55,125.79,4.516790896200181,1.8571668769400702,-30557969.02318436,2.5199914205178544,2.2151780978562243,2.1864365089970192,44.083306294043076,52.8109498027932,47.13002149254936,44.4417627705212,43.89588680547595
2024-07-18,121.85,122.4,116.56,121.09,320979530,117.99,121.85,116.72,390086189.0,124.624,127.08400000000002,4.883188507522406,277368386.6,274947807.1,77301636.54526608,126.09200000000001,128.546,4.2029001891549065,127.31999999999998,130.129,4.868536741157394,122.452,125.30999999999999,5.412662930572805,1.3119325706575609,-25735567.13776952,1.885963004059434,1.5073014673865401,1.4109823119237035,47.79645012510347,49.49090828663787,47.73878382650149,45.27385513226725,43.691341901355365
